number,ID
BMBM-0499,Boltenia_villosa
BMBM-0536,Udonella
BMBM-0542,Triopha_maculata
BMBM-0543,Triopha_maculata
BMBM-0544,Janolus_fuscus
BMBM-0545,Flabellina_trilineata
BMBM-0563,Amphipoda
BMBM-0564,Amphipoda
BMBM-0565,Ampithoe_lacertosa
BMBM-0566,Ampithoe_lacertosa
BMBM-0568,Sthenelais_berkeleyi
BMBM-0599,Megamaera_dentata
BMBM-0600,Heterophoxus_oculatus
BMBM-0604,Halosydna_brevisetosa_B
BMBM-0605,Arctonoe_vittata
BMBM-0606,Halosydna_brevisetosa
BMBM-0609,Arctonoe_pulchra
BMBM-0611,Halosydna_brevisetosa_B
BMBM-0614,Gnathopleustes_serratus
BMBM-0615,Gnathopleustes_serratus
BMBM-0619,Hermadion_truncata
BMBM-0620,Enipo_sp_FHL-1
BMBM-0623,Enipo_sp_FHL-1
BMBM-0624,Harmothoe_sp_FHL-1
BMBM-0625,Enipo_sp_FHL-1
BMBM-0628,Enipo_sp_FHL-1
BMBM-0638,Naineris
BMBM-0674,Porcellia_scaber
BMBM-0675,Idotea_urotoma
BMBM-0676,Gnorimosphaeroma_oregonensis
BMBM-0740,Polyplacophora
BMBM-0751,Hyperoche_medusarum
BMBM-0765,Thyone_benti
BMBM-0765,Thyone_benti
BMBM-0768,Rocinela_angustata
BMBM-0771,Humilaria_kennerleyi
BMBM-0773,Semele_rubropicta
BMBM-0778,Compsomyax_subdiaphana
BMBM-0780,Acila_castrensis
BMBM-0781,Lucinoma_annulata
BMBM-0782,Macoma
BMBM-0783,Modiolus_modiolus
BMBM-0788,Cellaria
BMBM-0789,Costazia_robertsoniae
BMBM-0790,Ericthonius_rubricornis
BMBM-0793,Bryozoa
BMBM-0798,Amphicteis_mucronata
BMBM-0802,Crisia_pugeti
BMBM-0803,Dendrobeania_lichenoides
BMBM-0804,Scrupocellaria_californica
BMBM-0805,Lottia
BMBM-0814,Crisia_occidentalis
BMBM-0830,Velutina
BMBM-0831,Aurelia_aurita
BMBM-0833,Solidobalanus_engbergi
BMBM-0834,Stylaster_venustus
BMBM-0836,Geitodoris_heathi
BMBM-0837,Maldanella_harai
BMBM-0843,Scoloplos_acmeceps
BMBM-0844,Proceraea_hanssoni
BMBM-0845,Paleanotus_bellis
BMBM-0846,Syllis_elongata
BMBM-0847,Myrianida_flava
BMBM-0848,Proceraea_nigropunctata_1
BMBM-0849,Proceraea_nigropunctata_2
BMBM-0850,Schizobranchia_insignis
BMBM-0851,Eusyllis
BMBM-0852,Typosyllis_elongata
BMBM-0854,Lepidasthenia_longicirrata
BMBM-0855,Bispira_crassicornis
BMBM-0857,Glycera_americana
BMBM-0859,Phyllocomus_hiltoni
BMBM-0862,Lumbrineris_erecta
BMBM-0863,Anobothrus_gracilis
BMBM-0865,Capitella
BMBM-0866,Oxydromus_pugettensis
BMBM-0867,Schistomeringos_longicornis
BMBM-0872_Contig_1,Exogone
BMBM-0872_Contig_2,Exogone
BMBM-0873,Brania
BMBM-0874,Nemertea
BMBM-0875,Chone_magna
BMBM-0877,Tubulanus_sexlineatus
BMBM-0878,Magelona
BMBM-0891,Plumularia_lagenifera
BMBM-0903,Campanularia_volubilis
BMBM-0905,Vorticeros_praedatorium
BMBM-0906,Cerebratulus_herculeus
BMBM-0907,Bowerbankia_gracilis
BMBM-0908,Hydractinia
BMBM-0912,Polyclinidae
BMBM-0961,Amonardia_perturbata
BMBM-0963,Amphiascopsis_cinctus
BMBM-0966,Poecilostomatoida_sp._1
BMBM-0968,Harpacticus_obscurus-2
BMBM-0969,Tisbe_sp._3
BMBM-0970,Euryte_sp._1
BMBM-0971,Tisbe_sp._1
BMBM-0974,Diarthrodes_sp._1
BMBM-0975,Diosaccus_spinatus
BMBM-0976,Amphiascopsis_sp._1
BMBM-0977,Amonardia_normani
BMBM-0979,Harpacticus_obscurus-1
BMBM-0982,Harpacticus_uniremis
BMBM-0986,Laophontidae_sp._1
BMBM-0988,Ameira_longipes
BMBM-0990,Stenothoidae_sp._1
BMBM-0991,Ischyrocerus_sp._1
BMBM-0992,Ischyrocerus_sp._2
BMBM-0993,Paracalliopiella_pratti
BMBM-0994,Stenothoidae_sp._2
BMBM-0995,Aoroides_sp._1
BMBM-0996,Parapleustinae_sp._1
BMBM-0998,Stenothoidae_sp._3
BMBM-1002,Jassa_staudei
BMBM-1003,Perampithoe_humeralis
BMBM-1004,Zeuxo_sp._1
BMBM-1006,Paradactylopodia_sp._1
BMBM-1011,Ectinosoma_melaniceps
BMBM-1013,Paralaophonte_sp._2
BMBM-1014,Dactylopusia_sp._2
BMBM-1015,Mesochra_sp._1
BMBM-1016,Harpacticus_obscurus-3
BMBM-1017,Laophontidae_sp._2
BMBM-1018,Diarthrodes_sp._2
BMBM-1019,Tisbe_sp._5
BMBM-1020,Diosaccus_spinatus
BMBM-1024,Limalepeta
BMBM-1082,Amphiascoides_sp._1
BMBM-9005,Polychaeta
BMBM-9010,Polychaeta
