id,taxon_name
BMBM-0499,Boltenia_villosa
BMBM-0536,Udonella
BMBM-0542,Triopha_maculata
BMBM-0543,Triopha_maculata
BMBM-0544,Janolus_fuscus
BMBM-0545,Flabellina_trilineata
BMBM-0563,Amphipoda
BMBM-0564,Amphipoda
BMBM-0565,Ampithoe_lacertosa
BMBM-0566,Ampithoe_lacertosa
BMBM-0568,Sthenelais_berkeleyi
BMBM-0599,Megamaera_dentata
BMBM-0600,Heterophoxus_oculatus
BMBM-0604,Halosydna_brevisetosa_B
BMBM-0605,Arctonoe_vittata
BMBM-0606,Halosydna_brevisetosa
BMBM-0609,Arctonoe_pulchra
BMBM-0611,Halosydna_brevisetosa_B
BMBM-0614,Gnathopleustes_serratus
BMBM-0615,Gnathopleustes_serratus
BMBM-0619,Hermadion_truncata
BMBM-0620,Enipo_sp_FHL-1
BMBM-0623,Enipo_sp_FHL-1
BMBM-0624,Harmothoe_sp_FHL-1
BMBM-0625,Enipo_sp_FHL-1
BMBM-0628,Enipo_sp_FHL-1
BMBM-0638,Naineris
BMBM-0674,Porcellia_scaber
BMBM-0675,Idotea_urotoma
BMBM-0676,Gnorimosphaeroma_oregonensis
BMBM-0740,Polyplacophora
BMBM-0751,Hyperoche_medusarum
BMBM-0765,Thyone_benti
BMBM-0765,Thyone_benti
BMBM-0768,Rocinela_angustata
BMBM-0771,Humilaria_kennerleyi
BMBM-0773,Semele_rubropicta
BMBM-0778,Compsomyax_subdiaphana
BMBM-0780,Acila_castrensis
BMBM-0781,Lucinoma_annulata
BMBM-0782,Macoma
BMBM-0783,Modiolus_modiolus
BMBM-0788,Cellaria
BMBM-0789,Costazia_robertsoniae
BMBM-0790,Ericthonius_rubricornis
BMBM-0793,Bryozoa
BMBM-0798,Amphicteis_mucronata
BMBM-0802,Crisia_pugeti
BMBM-0803,Dendrobeania_lichenoides
BMBM-0804,Scrupocellaria_californica
BMBM-0805,Lottia
BMBM-0814,Crisia_occidentalis
BMBM-0830,Velutina
BMBM-0831,Aurelia_aurita
BMBM-0833,Solidobalanus_engbergi
BMBM-0834,Stylaster_venustus
BMBM-0836,Geitodoris_heathi
BMBM-0837,Maldanella_harai
BMBM-0843,Scoloplos_acmeceps
BMBM-0844,Proceraea_hanssoni
BMBM-0845,Paleanotus_bellis
BMBM-0846,Syllis_elongata
BMBM-0847,Myrianida_flava
BMBM-0848,Proceraea_nigropunctata_1
BMBM-0849,Proceraea_nigropunctata_2
BMBM-0850,Schizobranchia_insignis
BMBM-0851,Eusyllis
BMBM-0852,Typosyllis_elongata
BMBM-0854,Lepidasthenia_longicirrata
BMBM-0855,Bispira_crassicornis
BMBM-0857,Glycera_americana
BMBM-0859,Phyllocomus_hiltoni
BMBM-0862,Lumbrineris_erecta
BMBM-0863,Anobothrus_gracilis
BMBM-0865,Capitella
BMBM-0866,Oxydromus_pugettensis
BMBM-0867,Schistomeringos_longicornis
BMBM-0872_Contig_1,Exogone
BMBM-0872_Contig_2,Exogone
BMBM-0873,Brania
BMBM-0874,Nemertea
BMBM-0875,Chone_magna
BMBM-0877,Tubulanus_sexlineatus
BMBM-0878,Magelona
BMBM-0891,Plumularia_lagenifera
BMBM-0903,Campanularia_volubilis
BMBM-0905,Vorticeros_praedatorium
BMBM-0906,Cerebratulus_herculeus
BMBM-0907,Bowerbankia_gracilis
BMBM-0908,Hydractinia
BMBM-0912,Polyclinidae
BMBM-0961,Amonardia_perturbata
BMBM-0963,Amphiascopsis_cinctus
BMBM-0966,Poecilostomatoida_sp._1
BMBM-0968,Harpacticus_obscurus-2
BMBM-0969,Tisbe_sp._3
BMBM-0970,Euryte_sp._1
BMBM-0971,Tisbe_sp._1
BMBM-0974,Diarthrodes_sp._1
BMBM-0975,Diosaccus_spinatus
BMBM-0976,Amphiascopsis_sp._1
BMBM-0977,Amonardia_normani
BMBM-0979,Harpacticus_obscurus-1
BMBM-0982,Harpacticus_uniremis
BMBM-0986,Laophontidae_sp._1
BMBM-0988,Ameira_longipes
BMBM-0990,Stenothoidae_sp._1
BMBM-0991,Ischyrocerus_sp._1
BMBM-0992,Ischyrocerus_sp._2
BMBM-0993,Paracalliopiella_pratti
BMBM-0994,Stenothoidae_sp._2
BMBM-0995,Aoroides_sp._1
BMBM-0996,Parapleustinae_sp._1
BMBM-0998,Stenothoidae_sp._3
BMBM-1002,Jassa_staudei
BMBM-1003,Perampithoe_humeralis
BMBM-1004,Zeuxo_sp._1
BMBM-1006,Paradactylopodia_sp._1
BMBM-1011,Ectinosoma_melaniceps
BMBM-1013,Paralaophonte_sp._2
BMBM-1014,Dactylopusia_sp._2
BMBM-1015,Mesochra_sp._1
BMBM-1016,Harpacticus_obscurus-3
BMBM-1017,Laophontidae_sp._2
BMBM-1018,Diarthrodes_sp._2
BMBM-1019,Tisbe_sp._5
BMBM-1020,Diosaccus_spinatus
BMBM-1024,Limalepeta
BMBM-1082,Amphiascoides_sp._1
BMBM-9005,Polychaeta
BMBM-9010,Polychaeta
B1007,NA
B1010,NA
B1083,NA
B1084,NA
B1085,NA
B1086,NA
B1087,NA
B1088,NA
B120,NA
B155,NA
B460,NA
B463,NA
B467,NA
B469,NA
B616a,NA
B627,NA
B757,NA
B757a,NA
B770,NA
B776,NA
B815,NA
B819,NA
B860,NA
B861,NA
B904,NA
B949,NA
B967,NA
B987,NA
B997,NA
B999,NA
BM1092,NA
BM1095,NA
BM112,NA
BM115,NA
BM149,NA
BM161,NA
BM229,NA
BM530,NA
BM550,NA
BM553,NA
BM555,NA
BM664,NA
BM671,NA
BM795,NA
BM797,NA
BM800,NA
BM824,NA
BM840,NA
BM868,NA
BM876,NA
BM880,NA
BM881,NA
BM882,NA
BM884,NA
BM9,NA
BM980,NA
CS11,NA
CS13,NA
CS21,NA
CS5,NA
CS8,NA
G719,NA
G720,NA
G721,NA
G723,NA
G724,NA
G725,NA
G726,NA
G727,NA
G728,NA
G729,NA
G732,NA
G736,NA
G737,NA
G738,NA
G739,NA
G741,NA
G742,NA
G743,NA
G744,NA
G745,NA
G746,NA
G747,NA
G748,NA
G749,NA
G758,NA
G759,NA
G760,NA
G764,NA
G765,NA
G771,NA
G772,NA
G773,NA
G776,NA
G778,NA
G779,NA
G780,NA
G782,NA
G783,NA
G784,NA
G787,NA
G788,NA
G789,NA
G790,NA
G793,NA
G794,NA
G796,NA
G798,NA
G799,NA
G800,NA
G801,NA
G802,NA
G803,NA
G804,NA
G805,NA
G809,NA
G811,NA
G812,NA
G815,NA
G816,NA
G819,NA
G820,NA
G821,NA
G822,NA
G823,NA
G824,NA
G826,NA
G827,NA
G828,NA
G829,NA
G830,NA
G831,NA
G832,NA
G833,NA
G834,NA
G835,NA
G838,NA
G839,NA
G840,NA
G841,NA
G842,NA
G845,NA
G846,NA
G847,NA
G848,NA
G849,NA
G850,NA
G852,NA
G854,NA
G856,NA
G858,NA
G859,NA
G861,NA
G862,NA
G863,NA
G864,NA
G865,NA
G868,NA
G869,NA
G870,NA
G872,NA
G873,NA
G875,NA
G876,NA
G877,NA
G878,NA
G879,NA
G880,NA
G882,NA
G884,NA
G885,NA
G886,NA
G888,NA
G891,NA
G896,NA
G897,NA
G898,NA
J13,NA
L8998,NA
L8999,NA
L9004,NA
L9005,NA
L9006,NA
L9016,NA
